VAR_CODE;VAR_LIB;MOD_CODE;MOD_LIB
COMMUNE;"Département et commune du lieu de résidence"
ARM;"Arrondissement municipal de résidence (Paris, Lyon et Marseille)"
IRIS;"Code IRIS du lieu de résidence"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";ZZZ;"Hors logement ordinaire"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";111;"Avant 1919"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";112;"De 1919 à 1945"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";211;"De 1946 à 1970"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";212;"De 1971 à 1990"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";311;"De 1991 à 2005"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";312;"En 2006"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";313;"En 2007"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";314;"En 2008"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";315;"En 2009"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";316;"En 2010"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";317;"En 2011"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";318;"En 2012"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";325;"En 2013 (partiel)"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";326;"En 2014 (partiel)"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";327;"En 2015 (partiel)"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";328;"En 2016 (partiel)"
ACHL;"Période d'achèvement de la construction de la maison ou de l'immeuble";329;"En 2017 (partiel)"
AEMM;"Année d'emménagement dans le logement (détaillée)";0000;"Logement ordinaire inoccupé"
AEMM;"Année d'emménagement dans le logement (détaillée)";1890;"Année  1890"
AEMM;"Année d'emménagement dans le logement (détaillée)";1891;"Année  1891"
AEMM;"Année d'emménagement dans le logement (détaillée)";1892;"Année  1892"
AEMM;"Année d'emménagement dans le logement (détaillée)";1893;"Année  1893"
AEMM;"Année d'emménagement dans le logement (détaillée)";1894;"Année  1894"
AEMM;"Année d'emménagement dans le logement (détaillée)";1895;"Année  1895"
AEMM;"Année d'emménagement dans le logement (détaillée)";1896;"Année  1896"
AEMM;"Année d'emménagement dans le logement (détaillée)";1897;"Année  1897"
AEMM;"Année d'emménagement dans le logement (détaillée)";1898;"Année  1898"
AEMM;"Année d'emménagement dans le logement (détaillée)";1899;"Année  1899"
