COMMUNE;ARM;IRIS;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;MATRM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;2004;9;25;004;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;1;2;Z;3;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1,07686053566771;1;M;03;Z;11;2;ZZ;1;10;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2005;9;25;003;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;1;2;Z;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1,07686053566771;1;M;02;Z;11;2;ZZ;1;21;2;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;1996;8;25;014;03;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;1;0;4,46503148935401;1;M;04;2;11;2;ZZ;1;22;2;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2006;9;25;004;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4,46503148935401;1;M;02;Z;11;2;ZZ;2;10;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;2003;9;25;008;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;2;1;Z;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3,55552014598123;1;M;03;Z;11;2;ZZ;2;22;2;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;2006;9;55;006;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;4;0;0;0;0;0;0;3;4;4;0;1;0;1,07686053566771;1;M;05;1;11;2;ZZ;1;22;3;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2010;9;25;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;5;5;5;1;5;2;0;0;3;0;0;6;1;5;0;3;1,07686053566771;2;M;05;0;11;2;ZZ;2;22;3;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2009;9;55;003;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;1;6;2;0;1;1;3;2;0;0;0;0;0;0;4;3;1;0;2;1,07686053566771;2;M;04;0;11;2;ZZ;1;22;2;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;1985;7;65;027;04;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;1;1;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;3,51106929578858;2;M;04;0;11;2;ZZ;1;22;2;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;1988;7;55;024;04;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;01;Z;Z;Z;16;1;1;Z;2;1;6;1;0;2;2;5;4;0;1;0;0;0;4;7;2;5;3;2;3,51106929578858;2;M;04;Z;11;2;ZZ;1;22;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1,07685835285714;Y;M;02;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770291;3;2;X;Z
77288;ZZZZZ;772880101;1978;6;65;031;05;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;14;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;2;0;0;2;2;0;0;0;2;1;1;0;0;3,69686885561343;2;M;04;0;11;2;ZZ;1;22;2;21;Z;Z;770291;3;2;2;Z
77288;ZZZZZ;772880101;2006;9;40;003;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;16;2;1;Z;2;1;6;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;3,69686885561343;1;M;03;Z;11;2;ZZ;1;22;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2009;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;03;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;2;1;0;0;0;0;0;2;2;1;1;2;0;1,07686053566771;1;M;02;Z;11;2;ZZ;1;10;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;2008;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3,55552014598123;1;M;02;Z;11;2;ZZ;2;22;2;11;1;2;770291;3;2;0;Z
77288;ZZZZZ;772880101;2010;9;25;002;01;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;15;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;3;3;3;2;3;2;0;0;3;0;1;5;2;3;0;2;3,51106929578858;2;M;04;2;11;2;ZZ;1;22;2;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;1996;8;55;016;03;1;Z;Z;H;1;Z;1;Z;Z;4;Z;Z;02;Z;Z;Z;11;2;1;Z;1;2;6;0;0;0;0;4;1;0;2;0;0;0;3;4;2;2;2;1;1,07686053566771;2;M;05;Z;11;2;ZZ;1;22;2;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;2009;9;40;003;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;16;2;1;Z;2;2;4;1;0;0;0;2;1;0;0;0;0;0;1;2;0;2;1;0;1,07686053566771;1;M;04;Z;11;2;ZZ;2;22;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2009;9;40;003;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;2;1;Z;Z;1;6;1;0;1;1;3;2;0;0;0;0;0;3;4;2;2;1;2;1,07686053566771;2;M;04;2;11;2;ZZ;1;22;2;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2005;9;25;005;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;14;Z;Z;Z;16;1;2;Z;3;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4,46503148935401;1;M;02;Z;11;2;ZZ;2;10;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;1998;8;40;013;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;03;Z;Z;Z;ZZ;2;1;Z;Z;2;6;0;0;0;0;2;0;0;0;0;0;0;1;2;0;2;1;0;3,55552014598123;4;M;03;9;11;2;ZZ;2;22;2;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1,07685835285714;Y;M;02;Y;11;2;ZZ;Y;00;1;YY;Y;Y;770291;3;2;X;Z
77288;ZZZZZ;772880101;1980;7;55;032;05;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;3;0;0;3;1;0;1;1;3;1;2;1;0;3,51106929578858;2;M;04;0;11;2;ZZ;1;22;2;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2009;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;17;Z;Z;Z;16;2;1;Z;3;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1,07686053566771;1;M;02;Z;11;2;ZZ;1;22;2;11;1;4;770291;3;2;0;Z
77288;ZZZZZ;772880101;2007;9;40;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;2;1;Z;2;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3,51106929578858;1;M;01;Z;11;1;ZZ;1;22;1;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;1996;8;40;012;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;22;1;2;Z;2;1;6;1;0;2;2;3;3;0;0;0;0;0;3;5;2;3;3;2;4,40045999625014;2;M;05;Z;11;2;ZZ;1;10;3;11;1;4;770291;1;1;1;Z
77288;ZZZZZ;772880101;1995;8;55;013;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;1;2;Z;Z;1;6;0;0;0;0;4;2;0;0;0;0;0;2;4;3;1;2;1;4,40045999625014;2;M;07;0;11;1;ZZ;1;10;3;21;Z;Z;770291;3;1;3;Z
77288;ZZZZZ;772880101;1999;8;55;009;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;13;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;3;1;0;0;0;0;0;3;3;2;1;3;0;1,07686053566771;2;M;04;Z;11;2;ZZ;1;10;2;11;1;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;2000;9;25;008;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;16;1;2;Z;1;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1,07686053566771;1;M;02;Z;11;2;ZZ;1;21;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;1972;6;55;037;05;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;01;Z;Z;Z;16;2;1;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3,69686885561343;3;M;04;Z;11;2;ZZ;2;22;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2008;9;20;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;15;Z;Z;Z;ZZ;2;2;Z;Z;2;2;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;3,69686885561343;1;M;02;1;11;2;ZZ;2;21;1;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;1986;7;80;024;04;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4,46503148935401;3;M;03;0;11;2;ZZ;2;22;2;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;1997;8;25;011;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;16;Z;Z;Z;16;1;1;Z;2;2;1;0;1;1;1;1;1;0;0;0;0;0;1;2;1;1;1;1;4,40045999625014;2;M;03;Z;11;2;ZZ;2;22;2;11;1;4;770291;3;2;1;Z
