COMMUNE;ARM;IRIS;ACHLR3;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;MATRM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;3;1999;8;80;014;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1.07768547620875;4;M;03;0;11;2;ZZ;2;10;2;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;3;2009;9;55;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;12;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.07768547620875;2;M;02;Z;11;2;ZZ;2;21;1;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;3;1998;8;40;015;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;12;Z;Z;Z;16;1;2;Z;3;2;1;1;0;1;1;2;2;0;0;0;0;0;2;3;2;1;1;1;1.07768547620875;4;M;04;Z;11;2;ZZ;2;10;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;3;2009;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;14;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.07768547620875;1;M;02;Z;11;2;ZZ;1;10;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;3;2000;9;25;013;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.07768547620875;1;M;02;Z;11;2;ZZ;1;21;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;3;2009;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;1;2;Z;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.07768547620875;1;M;02;Z;11;2;ZZ;1;21;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2008;9;40;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;ZZ;1;1;Z;Z;1;6;3;1;1;2;5;5;0;0;0;0;0;3;7;4;3;1;4;1.07768547620875;2;M;04;1;11;2;ZZ;1;22;3;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2010;9;25;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;14;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;3;3;3;1;3;1;0;0;1;0;1;4;1;3;0;3;1.07768547620875;1;M;05;2;11;2;ZZ;2;22;2;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2008;9;25;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;ZZ;2;1;Z;Z;1;6;1;3;3;4;2;4;1;1;1;2;0;0;6;2;4;0;3;1.07768547620875;1;M;04;0;11;2;ZZ;2;22;3;24;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2008;9;25;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;15;2;1;Z;3;1;6;0;1;1;1;2;1;1;0;0;1;0;2;3;2;1;2;0;1.07768547620875;1;M;03;Z;11;2;ZZ;1;22;2;11;1;3;770291;3;2;0;Z
