COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;REGION2016;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;112;1984;7;40;031;05;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;16;1;1;Z;3;2;1;0;0;0;1;3;2;0;0;0;0;0;4;4;2;2;2;0;4.21709488957678;1;M;05;Z;11;11;2;ZZ;1;A;22;5;11;1;4;770291;3;2;3;Z
77288;ZZZZZ;772880101;311;2004;9;40;009;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;D;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.02168454788425;1;M;03;Z;11;11;2;ZZ;1;B;10;3;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;311;1999;8;55;014;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;A;Z;Z;Z;ZZ;1;2;Z;Z;2;4;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1.02168454788425;1;M;02;0;11;11;2;ZZ;2;A;10;3;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;311;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1.02168890342406;Y;M;02;Y;11;11;2;ZZ;Y;Y;00;3;YY;Y;Y;770291;3;2;X;Z
77288;ZZZZZ;772880101;315;0000;0;YY;999;99;2;Z;Z;H;4;Z;2;Z;Z;2;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;3.37335742069636;Y;M;02;Y;11;11;2;ZZ;Y;Y;00;3;YY;Y;Y;770291;1;1;X;Z
77288;ZZZZZ;772880101;211;1963;5;65;049;06;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;A;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;3.33116975433943;1;M;04;0;11;11;2;ZZ;1;B;10;5;21;Z;Z;770291;1;1;1;Z
77288;ZZZZZ;772880101;211;1981;7;65;032;05;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;D;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;2;0;0;2;1;0;0;0;2;1;1;0;0;3.93726096507444;1;M;07;0;11;11;2;ZZ;1;A;10;7;21;Z;Z;770291;1;1;2;Z
77288;ZZZZZ;772880101;211;2002;9;40;012;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;C;Z;Z;Z;21;2;1;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3.06676214624127;1;M;02;Z;11;11;2;ZZ;1;B;22;3;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;212;2013;9;25;002;01;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;12;2;1;Z;2;1;6;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;1;0;4.21709488957678;1;M;02;Z;11;11;2;ZZ;1;A;22;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;1980;7;55;034;05;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;A;Z;Z;Z;21;1;1;Z;1;2;4;0;0;0;0;2;0;0;2;0;0;0;1;2;1;1;1;0;3.06676214624127;1;M;03;Z;11;11;2;ZZ;1;A;22;4;11;1;5;770291;3;2;1;Z
