COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP19M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;C113;2013;9;20;002;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;D;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1.17382965681603;1;M;02;Z;11;2;ZZ;1;B;21;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2014;9;25;000;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;2;1;Z;2;1;6;0;2;2;2;2;2;2;0;0;2;0;1;4;2;2;1;0;3.52345189629570;2;M;04;Z;11;2;ZZ;1;A;22;4;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12;2010;9;55;006;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;2;1;Z;1;1;6;0;0;0;0;3;2;0;1;0;0;0;4;4;3;1;2;1;3.76689311085357;1;M;05;Z;11;2;ZZ;1;A;22;4;11;1;4;770291;3;2;3;Z
77288;ZZZZZ;772880101;B11;1965;5;80;051;07;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;1;1;Z;Z;2;6;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;3.76689311085357;1;M;04;0;11;2;ZZ;1;A;22;4;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2001;9;25;013;03;2;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;C;Z;Z;Z;22;2;1;Z;2;1;6;0;0;0;0;6;1;0;1;1;0;0;4;6;4;2;4;0;3.52345189629570;1;M;03;Z;11;2;ZZ;2;A;22;4;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12;2009;9;55;005;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;B;Z;Z;Z;ZZ;1;2;Z;Z;2;4;0;0;0;0;2;0;0;2;0;0;0;0;2;1;1;0;0;3.52345189629570;1;M;04;9;11;2;ZZ;1;A;10;5;21;Z;Z;770291;1;1;1;Z
77288;ZZZZZ;772880101;B11;2011;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;1;1;1;3;1;0;0;0;1;0;2;4;3;1;1;1;3.52345189629570;1;M;04;1;11;2;ZZ;1;A;22;4;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11;2009;9;65;008;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;D;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;3.88382025689542;1;M;03;0;11;2;ZZ;2;B;22;4;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;C2014;2014;9;25;001;00;2;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;A;Z;Z;Z;16;1;2;Z;1;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.17382965681603;1;M;02;Z;11;2;ZZ;1;B;21;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;C113;2013;9;40;002;01;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;D;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.17382965681603;1;M;03;Z;11;2;ZZ;1;B;10;4;11;1;5;770291;3;2;1;Z
