COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP18M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;B11;2016;9;55;000;00;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;03;Z;Z;Z;16;2;1;Z;1;1;6;0;0;0;0;4;0;0;2;1;0;1;3;4;3;1;1;0;3.6184198241721;1;M;02;Z;11;2;ZZ;2;1;22;3;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11;1981;7;65;036;05;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;16;1;1;Z;1;2;3;0;0;0;0;3;0;0;2;2;0;0;2;3;2;1;2;0;3.73073824966781;1;M;04;Z;11;2;ZZ;2;1;22;5;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C112;2013;9;25;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;15;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.1275627885979;1;M;02;Z;11;2;ZZ;1;6;10;2;11;1;3;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2003;9;40;013;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;12;1;2;Z;3;2;1;1;0;0;0;4;2;0;0;0;0;0;3;4;3;1;3;2;3.6184198241721;1;M;05;Z;11;2;ZZ;1;1;10;5;11;1;6;770291;1;1;1;Z
77288;ZZZZZ;772880101;B11;2005;9;55;010;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;4.65411685370016;1;M;02;0;11;2;ZZ;1;6;22;2;24;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;B12;1975;6;65;042;06;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;4;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;3.73073824966781;1;M;03;0;11;2;ZZ;1;5;22;5;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2013;9;55;006;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;16;2;1;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4.11828262996597;1;M;02;Z;11;2;ZZ;2;5;22;3;11;2;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12;2014;9;65;005;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;18;Z;Z;Z;ZZ;2;2;Z;Z;1;6;0;0;0;0;2;0;0;2;2;0;0;0;2;1;1;0;0;4.11828262996597;1;M;06;9;11;2;ZZ;1;1;10;6;21;Z;Z;770291;1;1;0;Z
77288;ZZZZZ;772880101;C100;2009;9;40;007;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;12;Z;Z;Z;16;1;2;Z;3;2;2;0;2;2;2;2;2;1;0;0;2;0;2;4;1;3;2;1;3.6184198241721;1;M;03;Z;11;2;ZZ;1;6;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100;2013;9;55;003;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3.6184198241721;1;M;01;Z;11;2;ZZ;1;6;10;3;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;1970;6;80;047;06;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;17;Z;Z;Z;ZZ;1;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.73073824966781;1;M;04;0;11;2;ZZ;2;4;22;6;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2004;9;80;011;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;14;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;2;0;0;2;2;0;1;0;2;1;1;0;1;4.65411685370016;1;M;02;0;11;2;ZZ;1;1;22;2;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11;2015;9;55;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;16;2;1;Z;4;1;6;1;1;1;2;3;3;0;0;0;0;0;3;5;3;2;2;2;3.73073824966781;1;M;04;Z;11;2;ZZ;1;1;22;5;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2013;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;02;Z;Z;Z;12;2;2;Z;3;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.65411685370016;1;M;03;Z;11;2;ZZ;1;6;21;3;11;1;6;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11;2015;9;40;004;01;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;16;1;1;Z;2;1;6;0;2;2;2;2;2;1;0;0;2;0;1;4;2;2;1;2;4.11828262996597;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2014;9;80;005;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.11828262996597;1;M;04;9;11;2;ZZ;2;4;22;3;21;Z;Z;770291;3;2;0;Z
