COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP19M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC;Texte
77288;ZZZZZ;772880101;B12;1990;8;40;032;05;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;15;Z;Z;Z;ZZ;2;1;Z;Z;1;6;1;3;4;4;2;4;1;0;0;1;0;0;6;2;4;0;3;4.68744435722309;1;M;04;0;11;2;ZZ;1;1;22;4;24;Z;Z;770291;3;2;0;Z;B12
77288;ZZZZZ;772880101;B11;2017;9;40;005;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;16;2;1;Z;3;1;6;0;2;2;2;2;2;1;0;0;2;0;1;4;3;1;1;2;4.68744435722309;1;M;03;Z;11;2;ZZ;1;1;22;4;11;2;5;770291;3;2;3;Z;B11
77288;ZZZZZ;772880101;B11;2014;9;55;008;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;ZZ;2;1;Z;Z;2;4;1;0;0;1;3;3;0;0;0;0;0;3;4;2;2;0;1;4.68744435722309;1;M;04;1;11;2;ZZ;2;5;22;4;12;Z;Z;770291;3;2;0;Z;B11
77288;ZZZZZ;772880101;B11;2008;9;55;014;03;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;16;1;1;Z;2;1;6;1;2;2;2;2;3;2;0;0;2;0;2;5;3;2;2;3;4.68744435722309;1;M;03;Z;11;2;ZZ;1;1;22;3;11;1;5;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;2007;9;40;015;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;2;4;4;2;4;0;0;0;0;0;0;6;3;3;0;4;4.68744435722309;1;M;04;9;11;2;ZZ;1;1;22;4;24;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B12;2017;9;40;005;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;16;2;1;Z;3;1;6;0;4;4;4;2;4;1;0;0;2;0;1;6;4;2;1;3;4.68744435722309;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;2;Z;B12
77288;ZZZZZ;772880101;B11;0000;0;YY;999;99;Y;Z;Z;H;4;Z;Y;Z;Z;Y;Z;Z;YY;Z;Z;Z;YY;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;4.68739350577478;Y;M;YY;Y;11;Y;ZZ;Y;Y;00;Y;YY;Y;Y;770291;Y;2;X;Z;B11
77288;ZZZZZ;772880101;B12;2020;9;40;002;01;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;16;2;1;Z;3;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4.68744435722309;1;M;03;Z;11;2;ZZ;2;1;22;2;11;1;5;770291;3;2;2;Z;B12
77288;ZZZZZ;772880101;B11;2013;9;40;009;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;ZZ;1;2;Z;Z;1;6;2;2;3;4;2;4;0;0;0;0;0;2;6;3;3;1;4;4.68744435722309;1;M;04;1;11;2;ZZ;1;3;21;4;12;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;C100;2008;9;40;014;03;2;Z;Z;H;1;Z;2;Z;Z;4;Z;Z;12;Z;Z;Z;16;1;1;Z;3;2;6;0;2;4;4;2;4;2;0;0;2;0;2;6;3;3;2;2;4.68744435722309;1;M;05;Z;11;2;ZZ;1;1;22;5;11;1;5;770291;1;1;1;Z;C100
77288;ZZZZZ;772880101;A12;1973;6;65;049;06;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.68744435722309;1;M;04;0;11;2;ZZ;2;4;10;4;21;Z;Z;770291;1;1;1;Z;A12
77288;ZZZZZ;772880101;C117;2022;9;40;000;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;3;0;0;1;1;0;0;2;3;2;1;2;0;1.12022221515043;3;M;03;Z;11;2;ZZ;1;6;10;3;11;1;5;770291;3;2;2;Z;C117
77288;ZZZZZ;772880101;C2018;2020;9;25;002;01;1;Z;Z;H;1;Z;1;Z;Z;4;Z;Z;13;Z;Z;Z;16;2;2;Z;3;1;6;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;1.12022221515043;1;M;02;Z;11;2;ZZ;1;3;21;3;11;1;6;770291;3;2;0;Z;C2018
